UNFRMD_S,S,RANK_SUBCA,UNFRMD_SRVC_OCCPTN_TX,J,JDL_RCRD_CHNG_DT,JDL,BLANK
 19E,A,E,M48-M60 Armor Crewman,, 2000-01-12 00:00:00,JDL, 
 19F,A,E,M48/M60 Tank Driver,, 2000-01-12 00:00:00,JDL, 
 19G,A,E,Armor Reconnaissance Vehicle Crewman,, 2000-01-12 00:00:00,JDL, 
 19H,A,E,Armor Reconnaissance Vehicle Driver,, 2000-01-12 00:00:00,JDL, 
 19J,A,E,M60A2 Armor Crewman,, 2000-01-12 00:00:00,JDL, 
 19K,A,E,M1 Armor Crewman,, 2000-01-12 00:00:00,JDL, 
 19L,A,E,XM1 Tank Driver,, 2000-01-12 00:00:00,JDL, 
 19Z,A,E,Armor Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 2010,A,O,Chief of Staff,, 2000-01-12 00:00:00,JDL, 
 2011,A,O,Secretary of The General Staff,, 2000-01-12 00:00:00,JDL, 
 2015,A,O,Congressional Liaison Officer,, 2000-01-12 00:00:00,JDL, 
 2019,A,O,Post Commander,, 2000-01-12 00:00:00,JDL, 
 201A,A,W,Meteorology Technician,, 2000-01-12 00:00:00,JDL, 
 2025,A,O,Major Departmental Unit Chief or Director,, 2000-01-12 00:00:00,JDL, 
 202A,A,W,Biomedical Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 2030,A,O,Aide-De-Camp,, 2000-01-12 00:00:00,JDL, 
 2040,A,O,Test & Evaluation Officer,, 2000-01-12 00:00:00,JDL, 
 210A,A,W,Utilities Operation & Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 2110,A,O,Adjutant or Adjutant General,, 2000-01-12 00:00:00,JDL, 
 211A,A,W,Target Acquisition Radar Technician,, 2000-01-12 00:00:00,JDL, 
 2120,A,O,Administrative Officer,, 2000-01-12 00:00:00,JDL, 
 212A,A,W,Remote Piloted Vehicle Technician,, 2000-01-12 00:00:00,JDL, 
 2136,A,O,Nontactical Unit Officer,, 2000-01-12 00:00:00,JDL, 
 213A,A,W,Engineer Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 2145,A,O,WAC Staff Adviser,, 2000-01-12 00:00:00,JDL, 
 214E,A,W,"Missile System Technician, Pershing",, 2000-01-12 00:00:00,JDL, 
 214F,A,W,Field Artillery Missile System Technician (Sergeant),, 2000-01-12 00:00:00,JDL, 
 214G,A,W,"Missile System Technician, Lance",, 2000-01-12 00:00:00,JDL, 
 215,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 215A,A,W,Photomapping Technician,, 2000-01-12 00:00:00,JDL, 
 215B,A,W,Survey Technician,, 2000-01-12 00:00:00,JDL, 
 215C,A,W,Reproduction Technician,, 2000-01-12 00:00:00,JDL, 
 215D,A,W,Terrain Analysis Technician,, 2000-01-12 00:00:00,JDL, 
 2162,A,O,"Operations & Training Staff Officer (G3, S3)",, 2000-01-12 00:00:00,JDL, 
 2163,A,O,"Air Operations Officer (G3, S3)",, 2000-01-12 00:00:00,JDL, 
 2167,A,O,Research & Development Coordinator,, 2000-01-12 00:00:00,JDL, 
 2170,A,O,Technical Operations Officer,, 2000-01-12 00:00:00,JDL, 
 2180,A,O,"Civil-Military Operations Staff Officer (G5, S5)",, 2000-01-12 00:00:00,JDL, 
 21A,A,O,"Engineer, General",, 2000-01-12 00:00:00,JDL, 
 21B,A,O,Combat Engineer,, 2000-01-12 00:00:00,JDL, 
 21C,A,O,Topographic Engineer,, 2000-01-12 00:00:00,JDL, 
 21D,A,O,Facilities/Contract Construction Management Engineer (FCCME),, 2000-01-12 00:00:00,JDL, 
 21E,A,O,Battlefield Support Engineering,, 2000-01-12 00:00:00,JDL, 
 21F,A,O,Garrison Support Engineering,, 2000-01-12 00:00:00,JDL, 
 21G,A,E,Pershing Electronics Materiel Specialist,, 2000-01-12 00:00:00,JDL, 
 21G,A,O,General Army Support Engineering,, 2000-01-12 00:00:00,JDL, 
 21H,A,O,Specialized Support Engineering,, 2000-01-12 00:00:00,JDL, 
 21J,A,O,Combat Engineer,, 2000-01-12 00:00:00,JDL, 
 21K,A,O,"Engineer Officer, General",, 2000-01-12 00:00:00,JDL, 
 21L,A,E,Pershing Electronics Repairer,, 2000-01-12 00:00:00,JDL, 
 21R,A,E,Sergeant Firing Set Repairman,, 2000-01-12 00:00:00,JDL, 
 21S,A,E,Sergeant Missile Guidance Repairman,, 2000-01-12 00:00:00,JDL, 
 21T,A,E,Sergeant Test Equipment Repairman,, 2000-01-12 00:00:00,JDL, 
 21U,A,E,Sergeant Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 220,A,O,********DUMMY OFFICER ENTRY********,, 2000-01-12 00:00:00,JDL, 
 2200,A,O,Personnel Officer,, 2000-01-12 00:00:00,JDL, 
 2210,A,O,Personnel Management Officer,, 2000-01-12 00:00:00,JDL, 
 221B,A,W,"Missile Assembly Technician, Nike",, 2000-01-12 00:00:00,JDL, 
 221C,A,W,"Missile Maintenance Technician, Safeguard",, 2000-01-12 00:00:00,JDL, 
 222B,A,W,"Missile Fire Control Technician, Nike",, 2000-01-12 00:00:00,JDL, 
 222C,A,W,"Missile System Technician, Patriot",, 2000-01-12 00:00:00,JDL, 
 2239,A,O,Psychological Assistant,, 2000-01-12 00:00:00,JDL, 
 223B,A,W,"Missile System Technician, Hawk",, 2000-01-12 00:00:00,JDL, 
 223C,A,W,Air Defense Missile System Technician (Hawk),, 2000-01-12 00:00:00,JDL, 
 223D,A,W,"Air Defense Missile System Technician, Improved Hawk",, 2000-01-12 00:00:00,JDL, 
 224B,A,W,Chaparral-Vulcan Systems Technician,, 2000-01-12 00:00:00,JDL, 
 224D,A,W,SGT YORK Air Defense Systems Technician,, 2000-01-12 00:00:00,JDL, 
 225B,A,W,ADA Command and Control Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 2260,A,O,"Personnel Staff Officer (G1, S1)",, 2000-01-12 00:00:00,JDL, 
 2265,A,O,Manpower Control Officer,, 2000-01-12 00:00:00,JDL, 
 22A,A,O,Topographic Engineering,, 2000-01-12 00:00:00,JDL, 
 22K,A,E,Hawk Missile-Launcher Repairer,, 2000-01-12 00:00:00,JDL, 
 22L,A,E,Nike Test Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 22N,A,E,Nike-Hercules Missile-Launcher Repairer,, 2000-01-12 00:00:00,JDL, 
 2310,A,O,Recruiting & Induction Officer,, 2000-01-12 00:00:00,JDL, 
 2330,A,O,Labor Relations Officer,, 2000-01-12 00:00:00,JDL, 
 2334,A,O,Selective Service Officer,, 2000-01-12 00:00:00,JDL, 
 2350,A,O,Race Relations/Equal Opportunity Officer,, 2000-01-12 00:00:00,JDL, 
 23A,A,O,Facilities Management Engineer,, 2000-01-12 00:00:00,JDL, 
 23B,A,O,Contract Construction Management Engineer,, 2000-01-12 00:00:00,JDL, 
 23N,A,E,Nike Track Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 23Q,A,E,Hawk Fire Control Repairer,, 2000-01-12 00:00:00,JDL, 
 23R,A,E,Hawk Missile System Mechanic,, 2000-01-12 00:00:00,JDL, 
 23S,A,E,Hawk Pulse Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 23T,A,E,Hawk Continuous Wave Radar Repairman,, 2000-01-12 00:00:00,JDL, 
 23U,A,E,Nike High Power Radar-Simulator Repairer,, 2000-01-12 00:00:00,JDL, 
 23V,A,E,Hawk Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 23W,A,E,Nike Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 2401,A,O,"ADP Officer, PCM",, 2000-01-12 00:00:00,JDL, 
 2402,A,O,ADP Officer,, 2000-01-12 00:00:00,JDL, 
 241E,A,W,"Field Artillery Missile Systems Repair Technician, Sergeant",, 2000-01-12 00:00:00,JDL, 
 241F,A,W,"Field Artillery Missile Systems Repair Technician, Pershing",, 2000-01-12 00:00:00,JDL, 
 2420,A,O,Archivist,, 2000-01-12 00:00:00,JDL, 
 2421,A,O,Military Historian,, 2000-01-12 00:00:00,JDL, 
 2430,A,O,Memorial Activities Officer,, 2000-01-12 00:00:00,JDL, 
 24A,A,O,Telecommunications Systems Engineer,, 2000-01-12 00:00:00,JDL, 
 24B,A,E,Hawk Continuous Wave Radar Mechanic,, 2000-01-12 00:00:00,JDL, 
 24B,A,O,Data Systems Engineer,, 2000-01-12 00:00:00,JDL, 
 24C,A,E,Hawk Firing Section Mechanic,, 2000-01-12 00:00:00,JDL, 
 24D,A,E,Hawk Missile Launcher Mechanic,, 2000-01-12 00:00:00,JDL, 
 24E,A,E,Hawk Fire Control Mechanic (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 24F,A,E,Hawk Fire Control Mechanic,, 2000-01-12 00:00:00,JDL, 
 24G,A,E,HAWK Information Coordination Central Mechanic,, 2000-01-12 00:00:00,JDL, 
 24H,A,E,Hawk Fire Control Repairer,, 2000-01-12 00:00:00,JDL, 
 24J,A,E,Hawk Pulse Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 24K,A,E,Hawk Continuous Wave Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 24L,A,E,Hawk Launcher/Mechanical Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 24M,A,E,VULCAN System Mechanic,, 2000-01-12 00:00:00,JDL, 
 24N,A,E,CHAPARRAL System Mechanic,, 2000-01-12 00:00:00,JDL, 
 24P,A,E,Defense Acquisition Radar Mechanic,, 2000-01-12 00:00:00,JDL, 
 24Q,A,E,Nike-Hercules Fire Control Mechanic,, 2000-01-12 00:00:00,JDL, 
 24R,A,E,Hawk Master Mechanic,, 2000-01-12 00:00:00,JDL, 
 24S,A,E,ROLAND System Mechanic,, 2000-01-12 00:00:00,JDL, 
 24T,A,E,PATRIOT Operator System Mechanic,, 2000-01-12 00:00:00,JDL, 
 24U,A,E,Nike-Hercules Custodial Mechanic,, 2000-01-12 00:00:00,JDL, 
 24V,A,E,Hawk Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 24W,A,E,SGT YORK Air Defense Gun Systems Mechanic,, 2000-01-12 00:00:00,JDL, 
 24Z,A,O,Information Systems Engineer,, 2000-01-12 00:00:00,JDL, 
 250,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 2500,A,O,School Commandant,, 2000-01-12 00:00:00,JDL, 
 250A,A,W,Telecommunications Technician,, 2000-01-12 00:00:00,JDL, 
 250B,A,W,Tactical Automated Network Technician,, 2000-01-12 00:00:00,JDL, 
 250N,A,W,Network Management Technician,, 2000-01-12 00:00:00,JDL, 
 251,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 2510,A,O,Adviser Group Commander/Senior Adviser (Reserve Component),, 2000-01-12 00:00:00,JDL, 
 2517,A,O,Professor of Military Science,, 2000-01-12 00:00:00,JDL, 
 2518,A,O,Aviation Staff Officer,, 2000-01-12 00:00:00,JDL, 
 251A,A,W,Information Systems Technician,, 2000-01-12 00:00:00,JDL, 
 251B,A,W,"Air Defense Missile System Repair Technician, Nike",, 2000-01-12 00:00:00,JDL, 
 251C,A,W,"Air Defense Missile System Repair Technician, Hawk",, 2000-01-12 00:00:00,JDL, 
 251D,A,W,"Air Defense Missile System Repair Technician, Improved Hawk",, 2000-01-12 00:00:00,JDL, 
 2520,A,O,Training Officer,, 2000-01-12 00:00:00,JDL, 
 252A,A,W,Test Measuring and Diagnostic Equipment Support Technician,, 2000-01-12 00:00:00,JDL, 
 2548,A,O,Training Aids Officer,, 2000-01-12 00:00:00,JDL, 
 256A,A,W,Communications-Electronics Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 257A,A,W,Data Processing Systems Repair Technician,, 2000-01-12 00:00:00,JDL, 
 25A,A,O,"Signal, General",, 2000-01-12 00:00:00,JDL, 
 25B,A,O,Communications-Electronics Automation,, 2000-01-12 00:00:00,JDL, 
 25C,A,O,Communications-Electronics Operations,, 2000-01-12 00:00:00,JDL, 
 25D,A,E,Birdie Repairman,, 2000-01-12 00:00:00,JDL, 
 25D,A,O,Communications-Electronics Engineering,, 2000-01-12 00:00:00,JDL, 
 25E,A,O,Communications-Electronics Networking,, 2000-01-12 00:00:00,JDL, 
 25F,A,O,Communications-Electronics Materiel Integration,, 2000-01-12 00:00:00,JDL, 
 25G,A,E,Mobile Air Defense Command Post Monitor Repairman,, 2000-01-12 00:00:00,JDL, 
 25H,A,E,Radar Data Processing Equipment Repairman,, 2000-01-12 00:00:00,JDL, 
 25J,A,E,Operations Central Repairer,, 2000-01-12 00:00:00,JDL, 
 25K,A,E,AN/TSQ-51 System Repairer/Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 25L,A,E,AN/TSQ-73 ADA Command & Control System Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 25M,A,E,Multimedia Illustrator,, 2000-01-12 00:00:00,JDL, 
 25P,A,E,Visual Information/Audio Documentation Systems Specialist,, 2000-01-12 00:00:00,JDL, 
 25Q,A,E,Graphics Documentation Specialist,, 2000-01-12 00:00:00,JDL, 
 25R,A,E,Visual Information Equipment Operator-Maintainer,, 2000-01-12 00:00:00,JDL, 
 25S,A,E,Still Documentation Specialist,, 2000-01-12 00:00:00,JDL, 
 25V,A,E,Combat Documentation/Production Specialist,, 2000-01-12 00:00:00,JDL, 
 25Z,A,E,Visual Information Operations Chief,, 2000-01-12 00:00:00,JDL, 
 260,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 260A,A,W,Nuclear Weapons Technician,, 2000-01-12 00:00:00,JDL, 
 2610,A,O,Management Analyst,, 2000-01-12 00:00:00,JDL, 
 2615,A,O,Organization & Equipment Planning Officer,, 2000-01-12 00:00:00,JDL, 
 261A,A,W,Special Ammunition Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 2622,A,O,Training Center Unit Officer,, 2000-01-12 00:00:00,JDL, 
 2624,A,O,Logistical Commander,, 2000-01-12 00:00:00,JDL, 
 2625,A,O,Logistics Officer,, 2000-01-12 00:00:00,JDL, 
 262A,A,W,Nuclear Weapons Electronic Technician,, 2000-01-12 00:00:00,JDL, 
 2640,A,O,Troop Movements Officer,, 2000-01-12 00:00:00,JDL, 
 26A,A,O,Fixed Telecommunications Systems Officer,, 2000-01-12 00:00:00,JDL, 
 26B,A,E,Weapons Support Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 26B,A,O,Telecommunications Center Officer,, 2000-01-12 00:00:00,JDL, 
 26C,A,E,Combat Area Surveillance Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 26C,A,O,Telephone-Digital Communications Officer,, 2000-01-12 00:00:00,JDL, 
 26D,A,E,Ground Control Approach Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 26D,A,O,Fixed Radio Systems Officer,, 2000-01-12 00:00:00,JDL, 
 26E,A,E,Aerial Radar Sensor Repairer,, 2000-01-12 00:00:00,JDL, 
 26F,A,E,Aerial Photo Sensor Repairer,, 2000-01-12 00:00:00,JDL, 
 26H,A,E,Air Defense Radar Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 26K,A,E,Aerial Electronic Warning Defense Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 26L,A,E,Tactical Microwave Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 26M,A,E,Aerial Surveillance Radar Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 26N,A,E,Aerial Surveillance Infrared Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 26P,A,E,Radio Propagation Specialist,, 2000-01-12 00:00:00,JDL, 
 26Q,A,E,Tactical Satellite/Microwave Systems Operator,, 2000-01-12 00:00:00,JDL, 
 26R,A,E,Strategic Microwave Systems Operator,, 2000-01-12 00:00:00,JDL, 
 26T,A,E,Radio/Television Systems Specialist,, 2000-01-12 00:00:00,JDL, 
 26U,A,E,Unattended Ground Sensor Systems Repairman,, 2000-01-12 00:00:00,JDL, 
 26V,A,E,Strategic Microwave Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 26W,A,E,Radar Maintenance Supervisor-Inspector,, 2000-01-12 00:00:00,JDL, 
 26Y,A,E,SATCOM Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 270,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 2701,A,O,Nonmilitary Subjects Instruction Officer (Designated Subject),, 2000-01-12 00:00:00,JDL, 
 2715,A,O,Military Leadership Instructor,, 2000-01-12 00:00:00,JDL, 
 271A,A,W,Land Combat Missile Systems Repair Technician,, 2000-01-12 00:00:00,JDL, 
 2720,A,O,Civil Defense Officer,, 2000-01-12 00:00:00,JDL, 
 2728,A,O,Military College Faculty Member,, 2000-01-12 00:00:00,JDL, 
 27A,A,O,Communications-Electronics Engineer,, 2000-01-12 00:00:00,JDL, 
 27B,A,E,Land Combat Support System Test Specialist,, 2000-01-12 00:00:00,JDL, 
 27B,A,O,Communications-Electronics Systems Engineer,, 2000-01-12 00:00:00,JDL, 
 27C,A,E,ROLAND Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 27C,A,O,Radio Frequency Engineering Officer,, 2000-01-12 00:00:00,JDL, 
 27D,A,E,ROLAND FMTS Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 27E,A,E,Land Combat Electronic Missle System Repairer,, 2000-01-12 00:00:00,JDL, 
 27F,A,E,VULCAN Repairer,, 2000-01-12 00:00:00,JDL, 
 27G,A,E,CHAPARRAL/REDEYE Repairer,, 2000-01-12 00:00:00,JDL, 
 27H,A,E,HAWK Field Maintenance/Firing Section Repairer,, 2000-01-12 00:00:00,JDL, 
 27J,A,E,HAWK Field Maintenance Equipment/Pulse Acquisition Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 27K,A,E,HAWK Fire Control/Continuous Wave Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 27L,A,E,LANCE System Repairer,, 2000-01-12 00:00:00,JDL, 
 27M,A,E,Multiple Launch Rocket System (MLRS) Repairer,, 2000-01-12 00:00:00,JDL, 
 27N,A,E,Forward Area Alerting Radar (FAAR) Repairer,, 2000-01-12 00:00:00,JDL, 
 27P,A,E,SGT YORK Air Defense Gun Radar/Electrical Repairer,, 2000-01-12 00:00:00,JDL, 
 27Q,A,E,SGT YORK Air Defense Gun System Test Specialist,, 2000-01-12 00:00:00,JDL, 
 27T,A,E,Avenger System Repairer,, 2000-01-12 00:00:00,JDL, 
 27V,A,E,Hawk Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 27X,A,E,Patriot System Repairer,, 2000-01-12 00:00:00,JDL, 
 27Z,A,E,Missle Systems Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 2800,A,O,Comptroller,, 2000-01-12 00:00:00,JDL, 
 2801,A,O,"Comptroller Staff Officer, Army General Staff",, 2000-01-12 00:00:00,JDL, 
 281A,A,W,Radio Repair Technician,, 2000-01-12 00:00:00,JDL, 
 282A,A,W,Radar Repair Technician,, 2000-01-12 00:00:00,JDL, 
 285A,A,W,Electronic Warfare/Intercept Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 286A,A,W,Communications-Electronics Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 287A,A,W,Data Processing Systems Repair Technician,, 2000-01-12 00:00:00,JDL, 
 28A,A,O,Training Development Officer,, 2000-01-12 00:00:00,JDL, 
 28B,A,O,Media Production Officer,, 2000-01-12 00:00:00,JDL, 
 28C,A,O,Instructional Technologist,, 2000-01-12 00:00:00,JDL, 
 28M,A,E,Anti-Ballistic Missile Maintenance Specialist,, 2000-01-12 00:00:00,JDL, 
 2900,A,O,Headquarters Unit Commander,, 2000-01-12 00:00:00,JDL, 
 290A,A,W,Telecommunications Technician,, 2000-01-12 00:00:00,JDL, 
 2910,A,O,Service Company Commander,, 2000-01-12 00:00:00,JDL, 
 29E,A,E,Radio Repairer,, 2000-01-12 00:00:00,JDL, 
 29F,A,E,Fixed COMSEC Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 29G,A,E,Digital Communications Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 29H,A,E,ADMSE Repairer,, 2000-01-12 00:00:00,JDL, 
 29J,A,E,Teletypewriter Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 29M,A,E,Tactical Satellite/Microwave Repairer,, 2000-01-12 00:00:00,JDL, 
 29N,A,E,Switching Central Repairer,, 2000-01-12 00:00:00,JDL, 
 29P,A,E,COMSEC Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 29S,A,E,Communications Security Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 29T,A,E,Satellite/Microwave Communications Chief,, 2000-01-12 00:00:00,JDL, 
 29U,A,E,Digital Equipment Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 29V,A,E,Microwave Systems Operator/Repairer,, 2000-01-12 00:00:00,JDL, 
 29W,A,E,Electronics Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 29X,A,E,Communications Equipment Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 29Y,A,E,SATCOM Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 29Z,A,E,Electronics Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 300,A,O,********DUMMY OFFICER ENTRY********,, 2000-01-12 00:00:00,JDL, 
 3000,A,O,Executive Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 3004,A,O,Nuclear Medical Officer,, 2000-01-12 00:00:00,JDL, 
 3005,A,O,Preventive Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 3006,A,O,Occupational Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 3012,A,O,Health Care Administrator,, 2000-01-12 00:00:00,JDL, 
 301A,A,W,Data Processing Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 30A,A,O,Information Operations Officer,, 2000-01-12 00:00:00,JDL, 
 310,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 3100,A,O,General Medical Officer,, 2000-01-12 00:00:00,JDL, 
 3101,A,O,Pulmonary Disease Officer,, 2000-01-12 00:00:00,JDL, 
 3105,A,O,Gastroenterologist,, 2000-01-12 00:00:00,JDL, 
 3107,A,O,Cardiologist,, 2000-01-12 00:00:00,JDL, 
 3108,A,O,Obstetrician & Gynecologist,, 2000-01-12 00:00:00,JDL, 
 310A,A,W,Utilities Operation & Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 3111,A,O,Urologist,, 2000-01-12 00:00:00,JDL, 
 3112,A,O,Dermatologist,, 2000-01-12 00:00:00,JDL, 
 3113,A,O,Allergist/Clinical Immunologist,, 2000-01-12 00:00:00,JDL, 
 3115,A,O,Anesthesiologist,, 2000-01-12 00:00:00,JDL, 
 3116,A,O,Pediatrician,, 2000-01-12 00:00:00,JDL, 
 3117,A,O,Pediatric Cardiologist,, 2000-01-12 00:00:00,JDL, 
 3118,A,O,Child Neurologist,, 2000-01-12 00:00:00,JDL, 
 311A,A,W,Criminal Investigator,, 2000-01-12 00:00:00,JDL, 
 3125,A,O,Ophthalmologist,, 2000-01-12 00:00:00,JDL, 
 3126,A,O,Otorhinolaryngologist,, 2000-01-12 00:00:00,JDL, 
 3127,A,O,Child Psychiatrist,, 2000-01-12 00:00:00,JDL, 
 3128,A,O,Neurologist,, 2000-01-12 00:00:00,JDL, 
 3129,A,O,Psychiatrist,, 2000-01-12 00:00:00,JDL, 
 3130,A,O,Adolescent Psychiatrist,, 2000-01-12 00:00:00,JDL, 
 3131,A,O,Neurosurgeon,, 2000-01-12 00:00:00,JDL, 
 3132,A,O,Hematologist,, 2000-01-12 00:00:00,JDL, 
 3134,A,O,Nephrologist,, 2000-01-12 00:00:00,JDL, 
 3135,A,O,Medical Oncologist,, 2000-01-12 00:00:00,JDL, 
 3136,A,O,Endocrinologist,, 2000-01-12 00:00:00,JDL, 
 3137,A,O,Rheumatologist,, 2000-01-12 00:00:00,JDL, 
 3138,A,O,Clinical Pharmacologist,, 2000-01-12 00:00:00,JDL, 
 3139,A,O,Internist,, 2000-01-12 00:00:00,JDL, 
 3140,A,O,Infectious Disease Officer,, 2000-01-12 00:00:00,JDL, 
 3141,A,O,Family Physician,, 2000-01-12 00:00:00,JDL, 
 3150,A,O,General Surgeon,, 2000-01-12 00:00:00,JDL, 
 3151,A,O,Thoracic Surgeon,, 2000-01-12 00:00:00,JDL, 
 3152,A,O,Plastic Surgeon,, 2000-01-12 00:00:00,JDL, 
 3153,A,O,Orthopedic Surgeon,, 2000-01-12 00:00:00,JDL, 
 3154,A,O,Peripheral Vascular Surgeon,, 2000-01-12 00:00:00,JDL, 
 3160,A,O,Aviation Medical Officer,, 2000-01-12 00:00:00,JDL, 
 3167,A,O,Preventive Dentistry Officer,, 2000-01-12 00:00:00,JDL, 
 3168,A,O,Endodontist,, 2000-01-12 00:00:00,JDL, 
 3170,A,O,General Dentistry Officer,, 2000-01-12 00:00:00,JDL, 
 3171,A,O,Oral Surgeon,, 2000-01-12 00:00:00,JDL, 
 3172,A,O,Pedodontist,, 2000-01-12 00:00:00,JDL, 
 3173,A,O,Orthodontist,, 2000-01-12 00:00:00,JDL, 
 3174,A,O,Periodontist,, 2000-01-12 00:00:00,JDL, 
 3175,A,O,"Prosthodontist, Removable",, 2000-01-12 00:00:00,JDL, 
 3176,A,O,"Prosthodontist, Fixed",, 2000-01-12 00:00:00,JDL, 
 3177,A,O,Oral Pathologist,, 2000-01-12 00:00:00,JDL, 
 3178,A,O,Dental Staff Officer,, 2000-01-12 00:00:00,JDL, 
 3179,A,O,Oral Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 3180,A,O,Physiatrist,, 2000-01-12 00:00:00,JDL, 
 31A,A,O,Military Police,, 2000-01-12 00:00:00,JDL, 
 31B,A,E,Field Communications-Electronics Equipment Mechanic,, 2000-01-12 00:00:00,JDL, 
 31B,A,O,Physical Security,, 2000-01-12 00:00:00,JDL, 
 31C,A,E,Radio Operator-Maintainer,, 2000-01-12 00:00:00,JDL, 
 31C,A,O,Correctional,, 2000-01-12 00:00:00,JDL, 
 31D,A,E,MSE Transmission System Operator,, 2000-01-12 00:00:00,JDL, 
 31D,A,O,Criminal Investigation,, 2000-01-12 00:00:00,JDL, 
 31E,A,E,Field Radio Repairer,, 2000-01-12 00:00:00,JDL, 
 31F,A,E,Network Switching Systems Operator-Maintainer,, 2000-01-12 00:00:00,JDL, 
 31G,A,E,Tactical Communications Chief,, 2000-01-12 00:00:00,JDL, 
 31J,A,E,Teletypewriter,, 2000-01-12 00:00:00,JDL, 
 31K,A,E,Combat Signaler,, 2000-01-12 00:00:00,JDL, 
 31L,A,E,Cable Systems Installer-Maintainer,, 2000-01-12 00:00:00,JDL, 
 31M,A,E,Multichannel Transmission Systems Operator,, 2000-01-12 00:00:00,JDL, 
 31N,A,E,Communications Systems/Circuit Controller,, 2000-01-12 00:00:00,JDL, 
 31P,A,E,Microwave Systems Operator-Maintainer,, 2000-01-12 00:00:00,JDL, 
 31Q,A,E,Tactical Satellite Microwave Systems Operator,, 2000-01-12 00:00:00,JDL, 
 31R,A,E,Multichannel Transmission Systems Operator-Maintainer,, 2000-01-12 00:00:00,JDL, 
 31S,A,E,Satellite Communications Systems Operator-Maintainer,, 2000-01-12 00:00:00,JDL, 
 31T,A,E,Satellite/Microwave Systems Chief,, 2000-01-12 00:00:00,JDL, 
 31U,A,E,Signal Support Systems Specialist,, 2000-01-12 00:00:00,JDL, 
 31V,A,E,UL Communications Maintainer,, 2000-01-12 00:00:00,JDL, 
 31W,A,E,Telecommunications Operations Chief,, 2000-01-12 00:00:00,JDL, 
